Message,Label
"Hello, I hope you're doing well. I wanted to reach out to you regarding the upcoming project meeting.",Ham
"Make $10,000 in just one week! Click here to learn how: http://example.com",Spam
"I'm running late for our 2 PM meeting today. Sorry for the inconvenience. See you soon!",Ham
"Get 50% off on all products! Limited time offer. Use code: SAVE50 at checkout.",Spam
"We've been selected for the final round of the startup competition! Let's discuss strategies.",Ham
"Win a free iPhone 13! Enter our giveaway now: http://example.com/iphone-giveaway",Spam
"Just wanted to remind you about the deadline for submitting your report. It's due tomorrow.",Ham
"Unlock exclusive discounts on our best-selling courses! Sign up now: http://example.com/courses",Spam
"Looking forward to our team-building event this weekend! Should be a blast.",Ham
"Your account has been compromised! Click here to reset your password: http://example.com/reset",Spam
"I'm excited to announce our new product launch! Join us on March 12th.",Ham
"Get free shipping on all orders over $50! Use code: FREESHIP",Spam
"Meeting rescheduled to Thursday at 2 PM. Hope to see you there!",Ham
"Win a $1,000 gift card! Enter now: http://example.com/gift-card",Spam
"New job opening: Software Engineer. Apply now: http://example.com/careers",Ham
"Unlock exclusive deals on our best-selling products! Sign up now: http://example.com/deals",Spam
"Reminder: Project deadline is tomorrow. Please submit your report.",Ham
"Make $500 in just one day! Learn how: http://example.com/make-money",Spam
"Join our webinar on industry trends. Register now: http://example.com/webinar",Ham
"Your account has been compromised! Reset password: http://example.com/reset",Spam
"Project update: New deadline is Friday. Please adjust schedules.",Ham
"Get 50% off on all software! Limited time offer: http://example.com/software-deals",Spam
"Happy birthday to our team lead! Wishing you a great day.",Ham
"Win a $5,000 cash prize! Enter now: http://example.com/cash-giveaway",Spam
"Meeting rescheduled to Monday at 10 AM. Apologies for inconvenience.",Ham
"Unlock exclusive discounts on travel bookings! Join our rewards program: http://example.com/travel-rewards",Spam
"New job opening: Marketing Manager. Apply now: http://example.com/careers",Ham
"Make $2,000 in just one day! Learn how: http://example.com/make-money-fast",Spam
"Join our webinar on industry trends. Register now: http://example.com/webinar",Ham
"Your account has been compromised! Reset password: http://example.com/reset",Spam
"Team-building event on Friday at 6 PM. Hope to see you there!",Ham
"Get 20% off on all courses! Limited time offer: http://example.com/courses",Spam
"Project deadline reminder: Tomorrow at 5 PM. Please submit reports.",Ham
"Win a free iPhone 14! Enter now: http://example.com/iphone-giveaway",Spam
"New blog post: Industry Insights and Trends. Read now: http://example.com/blog",Ham
"Unlock exclusive deals on our best-selling products! Sign up now: http://example.com/deals",Spam
"Meeting cancelled due to technical issues.",Ham
"Make $1,500 in just one week! Learn how: http://example.com/make-money",Spam
"Join our social media contest! Win exciting prizes: http://example.com/contest",Spam
